sensor_id,timestamp,temperature,humidity,pressure,location,battery_level,signal_strength
SENSOR_009,2025-12-02 19:10:07,12.82,44.82,1007.96,Building_A,20.7,-47
SENSOR_050,2025-12-02 19:10:02,39.77,63.81,1021.73,Outdoor,38.0,-100
SENSOR_046,2025-12-02 19:09:57,6.42,49.25,1033.5,Factory_Floor,53.8,-31
SENSOR_078,2025-12-02 19:09:52,39.38,56.62,996.38,Factory_Floor,2.9,-57
SENSOR_086,2025-12-02 19:09:47,27.35,50.32,989.9,Factory_Floor,92.0,-32
SENSOR_004,2025-12-02 19:09:42,39.88,64.39,1019.78,Building_A,64.3,-83
SENSOR_060,2025-12-02 19:09:37,-0.0,39.51,999.64,Factory_Floor,32.7,-52
SENSOR_036,2025-12-02 19:09:32,31.36,82.39,995.14,Building_A,47.0,-31
SENSOR_007,2025-12-02 19:09:27,44.99,46.25,1019.01,Building_A,75.4,-69
SENSOR_026,2025-12-02 19:09:22,36.16,66.6,994.31,Factory_Floor,66.9,-73
SENSOR_060,2025-12-02 19:09:17,28.47,77.52,990.07,Outdoor,96.4,-86
SENSOR_100,2025-12-02 19:09:12,35.06,92.35,986.49,Building_A,92.9,-52
SENSOR_051,2025-12-02 19:09:07,41.78,34.87,1015.53,Building_B,10.2,-62
SENSOR_088,2025-12-02 19:09:02,23.02,29.08,1039.03,Building_A,34.7,-46
SENSOR_085,2025-12-02 19:08:57,10.38,57.95,1000.47,Factory_Floor,82.2,-87
SENSOR_056,2025-12-02 19:08:52,42.84,67.67,1029.72,Building_B,43.5,-34
SENSOR_084,2025-12-02 19:08:47,4.85,80.61,1012.29,Factory_Floor,46.5,-66
SENSOR_042,2025-12-02 19:08:42,36.84,82.3,985.2,Factory_Floor,24.4,-41
SENSOR_073,2025-12-02 19:08:37,23.57,48.42,981.72,Warehouse_1,18.2,-73
SENSOR_046,2025-12-02 19:08:32,33.88,45.53,1032.82,Warehouse_1,55.6,-34
SENSOR_025,2025-12-02 19:08:27,-5.29,74.01,1009.31,Building_B,69.1,-38
SENSOR_058,2025-12-02 19:08:22,33.61,26.98,993.3,Building_B,30.6,-53
SENSOR_061,2025-12-02 19:08:17,20.44,45.78,1039.8,Outdoor,33.1,-42
SENSOR_035,2025-12-02 19:08:12,6.86,37.29,1023.28,Warehouse_1,12.0,-32
SENSOR_098,2025-12-02 19:08:07,27.96,34.37,1024.32,Warehouse_1,72.5,-33
SENSOR_077,2025-12-02 19:08:02,5.56,27.54,991.65,Building_B,36.1,-62
SENSOR_002,2025-12-02 19:07:57,28.94,29.49,982.73,Building_A,55.3,-84
SENSOR_082,2025-12-02 19:07:52,37.77,56.82,1032.36,Outdoor,28.4,-39
SENSOR_057,2025-12-02 19:07:47,8.74,92.41,995.15,Factory_Floor,11.4,-92
SENSOR_052,2025-12-02 19:07:42,17.05,63.28,1021.19,Building_B,14.9,-62
SENSOR_011,2025-12-02 19:07:37,44.67,28.88,1025.87,Outdoor,59.6,-72
SENSOR_100,2025-12-02 19:07:32,18.74,53.79,1006.56,Outdoor,99.0,-61
SENSOR_073,2025-12-02 19:07:27,24.16,65.72,1024.41,Building_B,62.6,-67
SENSOR_085,2025-12-02 19:07:22,-5.53,37.99,1013.12,Building_B,0.3,-43
SENSOR_089,2025-12-02 19:07:17,22.66,41.84,993.89,Warehouse_1,70.3,-42
SENSOR_010,2025-12-02 19:07:12,27.81,89.29,1027.27,Outdoor,66.1,-75
SENSOR_055,2025-12-02 19:07:07,-3.69,36.86,988.94,Warehouse_1,82.7,-91
SENSOR_008,2025-12-02 19:07:02,-0.87,43.07,1024.94,Outdoor,92.1,-44
SENSOR_016,2025-12-02 19:06:57,15.78,42.81,1004.15,Warehouse_1,50.0,-37
SENSOR_057,2025-12-02 19:06:52,-5.58,22.99,1005.92,Warehouse_1,60.4,-97
SENSOR_012,2025-12-02 19:06:47,2.59,70.57,1031.63,Outdoor,95.1,-66
SENSOR_074,2025-12-02 19:06:42,-7.79,76.72,1008.23,Factory_Floor,91.6,-77
SENSOR_075,2025-12-02 19:06:37,13.97,81.07,1038.14,Factory_Floor,34.8,-58
SENSOR_042,2025-12-02 19:06:32,26.86,84.33,999.79,Factory_Floor,28.8,-49
SENSOR_098,2025-12-02 19:06:27,20.26,54.11,998.87,Warehouse_1,11.6,-49
SENSOR_066,2025-12-02 19:06:22,35.37,20.09,1032.16,Factory_Floor,41.3,-76
SENSOR_067,2025-12-02 19:06:17,9.9,76.73,1017.52,Building_A,20.4,-30
SENSOR_017,2025-12-02 19:06:12,41.02,52.86,1021.9,Building_A,2.9,-70
SENSOR_091,2025-12-02 19:06:07,-1.29,61.31,1013.14,Building_A,22.5,-86
SENSOR_060,2025-12-02 19:06:02,42.09,68.58,989.24,Warehouse_1,50.9,-66
SENSOR_054,2025-12-02 19:05:57,35.91,93.52,994.62,Outdoor,14.5,-76
SENSOR_077,2025-12-02 19:05:52,17.95,85.95,1031.84,Warehouse_1,77.3,-47
SENSOR_044,2025-12-02 19:05:47,41.38,58.08,1029.23,Warehouse_1,72.6,-38
SENSOR_020,2025-12-02 19:05:42,14.56,56.33,999.95,Outdoor,37.7,-59
SENSOR_025,2025-12-02 19:05:37,43.94,37.91,1002.98,Factory_Floor,4.4,-40
SENSOR_091,2025-12-02 19:05:32,40.24,48.59,1039.3,Building_B,49.5,-96
SENSOR_017,2025-12-02 19:05:27,17.63,64.26,1032.18,Factory_Floor,10.0,-42
SENSOR_002,2025-12-02 19:05:22,29.73,50.75,1019.29,Building_B,7.5,-67
SENSOR_044,2025-12-02 19:05:17,24.28,49.81,984.82,Warehouse_1,85.2,-32
SENSOR_049,2025-12-02 19:05:12,42.48,67.01,1033.25,Factory_Floor,87.2,-96
SENSOR_080,2025-12-02 19:05:07,-6.24,67.34,1035.26,Building_B,74.7,-45
SENSOR_013,2025-12-02 19:05:02,31.82,72.79,986.03,Building_B,69.4,-97
SENSOR_006,2025-12-02 19:04:57,7.84,24.21,1001.51,Factory_Floor,14.6,-33
SENSOR_053,2025-12-02 19:04:52,21.13,79.44,990.2,Building_A,60.9,-52
SENSOR_080,2025-12-02 19:04:47,27.57,57.33,1014.99,Building_B,46.1,-68
SENSOR_059,2025-12-02 19:04:42,4.04,20.7,1028.28,Warehouse_1,67.8,-80
SENSOR_010,2025-12-02 19:04:37,14.3,45.92,1015.25,Factory_Floor,69.0,-42
SENSOR_039,2025-12-02 19:04:32,0.96,48.85,1008.99,Building_B,38.1,-55
SENSOR_074,2025-12-02 19:04:27,6.27,72.45,981.32,Factory_Floor,27.4,-94
SENSOR_078,2025-12-02 19:04:22,30.98,82.46,1034.18,Building_B,60.7,-55
SENSOR_029,2025-12-02 19:04:17,25.01,66.57,1020.67,Building_B,62.8,-95
SENSOR_040,2025-12-02 19:04:12,33.37,22.5,1001.89,Building_B,9.0,-63
SENSOR_042,2025-12-02 19:04:07,31.11,33.17,987.93,Outdoor,87.6,-54
SENSOR_068,2025-12-02 19:04:02,17.6,40.44,989.87,Factory_Floor,96.7,-63
SENSOR_096,2025-12-02 19:03:57,37.87,80.32,1008.1,Building_A,14.1,-72
SENSOR_087,2025-12-02 19:03:52,29.83,93.5,1038.04,Outdoor,36.6,-50
SENSOR_002,2025-12-02 19:03:47,4.55,29.27,1002.12,Warehouse_1,58.5,-53
SENSOR_014,2025-12-02 19:03:42,27.12,55.36,1017.17,Outdoor,32.8,-72
SENSOR_083,2025-12-02 19:03:37,-6.52,81.79,1034.56,Warehouse_1,64.9,-86
SENSOR_018,2025-12-02 19:03:32,-7.51,22.79,1039.76,Building_A,9.7,-32
SENSOR_018,2025-12-02 19:03:27,11.38,47.83,1036.96,Outdoor,41.9,-81
SENSOR_054,2025-12-02 19:03:22,26.02,82.53,1016.94,Warehouse_1,3.3,-53
SENSOR_028,2025-12-02 19:03:17,14.39,91.29,1031.33,Building_A,98.1,-53
SENSOR_070,2025-12-02 19:03:12,39.59,68.36,983.63,Warehouse_1,19.0,-85
SENSOR_059,2025-12-02 19:03:07,-4.96,35.91,1018.37,Building_A,5.1,-58
SENSOR_032,2025-12-02 19:03:02,44.39,79.02,992.31,Outdoor,20.7,-73
SENSOR_030,2025-12-02 19:02:57,8.07,31.07,1034.03,Building_A,27.7,-82
SENSOR_017,2025-12-02 19:02:52,19.71,79.89,986.6,Building_A,13.2,-55
SENSOR_031,2025-12-02 19:02:47,22.39,21.18,995.92,Building_B,74.2,-33
SENSOR_015,2025-12-02 19:02:42,31.01,55.72,1026.68,Outdoor,59.4,-43
SENSOR_065,2025-12-02 19:02:37,2.19,66.13,1023.63,Outdoor,30.2,-97
SENSOR_008,2025-12-02 19:02:32,44.92,83.55,1005.58,Building_A,49.0,-44
SENSOR_010,2025-12-02 19:02:27,39.46,44.16,988.9,Building_B,27.5,-30
SENSOR_092,2025-12-02 19:02:22,7.89,94.6,1011.83,Factory_Floor,50.6,-45
SENSOR_013,2025-12-02 19:02:17,33.62,28.58,1019.28,Outdoor,72.1,-73
SENSOR_056,2025-12-02 19:02:12,14.84,37.14,1000.34,Factory_Floor,39.9,-88
SENSOR_041,2025-12-02 19:02:07,13.47,69.88,1002.46,Building_B,68.7,-40
SENSOR_009,2025-12-02 19:02:02,-4.98,26.4,1005.91,Warehouse_1,81.2,-93
SENSOR_076,2025-12-02 19:01:57,42.61,62.13,1020.2,Factory_Floor,35.4,-46
SENSOR_093,2025-12-02 19:01:52,-7.17,41.57,998.75,Building_A,57.8,-73
SENSOR_020,2025-12-02 19:01:47,26.12,36.82,986.49,Outdoor,36.8,-65
SENSOR_074,2025-12-02 19:01:42,2.44,52.18,1013.66,Outdoor,61.4,-97
SENSOR_078,2025-12-02 19:01:37,41.1,82.21,996.05,Building_B,27.3,-61
SENSOR_044,2025-12-02 19:01:32,9.31,33.61,988.6,Factory_Floor,7.0,-97
SENSOR_012,2025-12-02 19:01:27,31.04,36.13,1005.19,Warehouse_1,15.7,-61
SENSOR_093,2025-12-02 19:01:22,7.84,90.61,1015.77,Building_A,15.6,-94
SENSOR_087,2025-12-02 19:01:17,-5.51,53.23,1005.44,Outdoor,44.2,-66
SENSOR_028,2025-12-02 19:01:12,31.52,28.54,1005.79,Warehouse_1,67.8,-38
SENSOR_068,2025-12-02 19:01:07,26.69,23.41,1003.72,Outdoor,5.5,-74
SENSOR_039,2025-12-02 19:01:02,41.99,77.55,1025.85,Warehouse_1,32.8,-100
SENSOR_064,2025-12-02 19:00:57,31.09,33.18,1002.81,Building_B,50.0,-55
SENSOR_010,2025-12-02 19:00:52,11.84,75.65,1006.17,Factory_Floor,92.1,-60
SENSOR_074,2025-12-02 19:00:47,13.61,50.33,1018.41,Warehouse_1,11.5,-98
SENSOR_042,2025-12-02 19:00:42,-0.55,91.07,1007.61,Warehouse_1,8.8,-87
SENSOR_032,2025-12-02 19:00:37,13.96,50.03,984.72,Warehouse_1,74.6,-72
SENSOR_043,2025-12-02 19:00:32,32.85,25.73,1017.99,Outdoor,51.0,-56
SENSOR_045,2025-12-02 19:00:27,30.01,81.42,1028.9,Building_B,10.3,-68
SENSOR_026,2025-12-02 19:00:22,-0.46,31.47,1025.55,Building_A,17.7,-37
SENSOR_060,2025-12-02 19:00:17,31.49,76.99,1006.93,Outdoor,64.3,-59
SENSOR_081,2025-12-02 19:00:12,7.39,52.98,1008.14,Warehouse_1,79.6,-93
SENSOR_046,2025-12-02 19:00:07,17.9,43.28,1007.11,Building_A,36.9,-64
SENSOR_010,2025-12-02 19:00:02,25.46,93.3,985.42,Outdoor,50.7,-41
SENSOR_075,2025-12-02 18:59:57,20.49,79.39,1033.75,Factory_Floor,90.9,-76
SENSOR_042,2025-12-02 18:59:52,23.28,57.6,1037.46,Factory_Floor,10.4,-57
SENSOR_092,2025-12-02 18:59:47,-5.36,68.46,982.35,Factory_Floor,99.1,-33
SENSOR_067,2025-12-02 18:59:42,23.54,47.29,1035.08,Factory_Floor,40.9,-57
SENSOR_087,2025-12-02 18:59:37,22.88,79.19,1018.84,Building_A,33.0,-51
SENSOR_037,2025-12-02 18:59:32,3.86,83.87,1037.86,Outdoor,87.3,-58
SENSOR_011,2025-12-02 18:59:27,22.05,30.61,1000.99,Factory_Floor,12.9,-90
SENSOR_040,2025-12-02 18:59:22,20.74,68.26,999.71,Building_B,67.0,-33
SENSOR_012,2025-12-02 18:59:17,25.53,51.76,1001.71,Warehouse_1,30.9,-73
SENSOR_044,2025-12-02 18:59:12,42.12,56.47,993.59,Building_B,15.5,-63
SENSOR_013,2025-12-02 18:59:07,17.92,60.48,1024.32,Outdoor,3.8,-57
SENSOR_099,2025-12-02 18:59:02,23.99,64.79,989.26,Building_B,83.1,-79
SENSOR_093,2025-12-02 18:58:57,14.07,50.81,1020.58,Building_B,97.0,-64
SENSOR_097,2025-12-02 18:58:52,31.17,53.67,1012.04,Warehouse_1,96.6,-40
SENSOR_025,2025-12-02 18:58:47,10.23,91.03,1039.07,Factory_Floor,76.9,-52
SENSOR_065,2025-12-02 18:58:42,19.01,92.47,1029.01,Outdoor,13.8,-68
SENSOR_007,2025-12-02 18:58:37,25.26,85.56,1013.27,Building_A,71.1,-34
SENSOR_016,2025-12-02 18:58:32,5.68,77.23,996.37,Outdoor,14.7,-45
SENSOR_012,2025-12-02 18:58:27,42.05,36.65,1007.07,Warehouse_1,93.0,-47
SENSOR_007,2025-12-02 18:58:22,11.8,48.05,1003.17,Building_A,37.5,-97
SENSOR_041,2025-12-02 18:58:17,41.2,82.94,1019.0,Building_B,13.8,-64
SENSOR_061,2025-12-02 18:58:12,28.28,30.41,1022.33,Factory_Floor,61.5,-90
SENSOR_003,2025-12-02 18:58:07,4.08,82.62,1012.93,Outdoor,52.8,-86
SENSOR_100,2025-12-02 18:58:02,5.85,42.59,982.86,Factory_Floor,63.9,-42
SENSOR_009,2025-12-02 18:57:57,-3.9,87.89,1015.8,Building_A,63.2,-70
SENSOR_092,2025-12-02 18:57:52,-2.1,52.19,1016.89,Building_B,57.1,-77
SENSOR_086,2025-12-02 18:57:47,26.75,59.26,1001.64,Outdoor,54.4,-36
SENSOR_071,2025-12-02 18:57:42,-8.88,85.5,982.61,Factory_Floor,98.1,-68
SENSOR_096,2025-12-02 18:57:37,-9.11,79.14,1000.69,Building_A,77.2,-58
SENSOR_018,2025-12-02 18:57:32,-7.56,60.95,1028.81,Building_B,83.0,-41
SENSOR_090,2025-12-02 18:57:27,16.32,33.67,988.09,Factory_Floor,3.7,-75
SENSOR_006,2025-12-02 18:57:22,33.51,86.43,998.94,Warehouse_1,51.5,-31
SENSOR_061,2025-12-02 18:57:17,3.93,76.5,991.47,Warehouse_1,86.2,-94
SENSOR_084,2025-12-02 18:57:12,8.26,29.34,1002.08,Factory_Floor,74.3,-51
SENSOR_044,2025-12-02 18:57:07,43.55,57.22,1009.85,Outdoor,26.7,-90
SENSOR_094,2025-12-02 18:57:02,13.35,52.3,1039.71,Building_B,54.5,-59
SENSOR_014,2025-12-02 18:56:57,-5.6,69.57,998.39,Outdoor,71.8,-79
SENSOR_089,2025-12-02 18:56:52,14.41,53.53,1023.61,Warehouse_1,61.5,-45
SENSOR_036,2025-12-02 18:56:47,25.17,79.36,983.44,Factory_Floor,36.3,-80
SENSOR_004,2025-12-02 18:56:42,-2.15,65.57,1026.88,Building_A,12.6,-70
SENSOR_100,2025-12-02 18:56:37,25.48,47.16,1036.97,Building_A,60.5,-43
SENSOR_048,2025-12-02 18:56:32,10.46,77.23,1014.44,Outdoor,36.7,-60
SENSOR_084,2025-12-02 18:56:27,5.33,92.04,981.55,Building_B,49.9,-51
SENSOR_072,2025-12-02 18:56:22,-3.52,78.12,1022.24,Building_B,99.6,-64
SENSOR_089,2025-12-02 18:56:17,40.41,56.84,987.36,Building_A,45.2,-44
SENSOR_012,2025-12-02 18:56:12,34.58,92.57,1039.19,Warehouse_1,71.0,-30
SENSOR_070,2025-12-02 18:56:07,5.97,42.5,989.45,Building_B,79.4,-35
SENSOR_029,2025-12-02 18:56:02,-3.33,35.07,988.33,Factory_Floor,2.6,-30
SENSOR_074,2025-12-02 18:55:57,10.29,80.27,1013.1,Outdoor,88.4,-92
SENSOR_040,2025-12-02 18:55:52,11.9,73.77,1008.72,Factory_Floor,76.9,-91
SENSOR_017,2025-12-02 18:55:47,43.48,68.18,1007.0,Outdoor,34.5,-30
SENSOR_082,2025-12-02 18:55:42,22.33,77.58,987.74,Outdoor,91.1,-93
SENSOR_016,2025-12-02 18:55:37,18.5,42.81,989.72,Building_B,34.6,-34
SENSOR_037,2025-12-02 18:55:32,36.53,38.8,1018.1,Outdoor,27.4,-62
SENSOR_079,2025-12-02 18:55:27,19.34,57.69,990.12,Outdoor,15.4,-57
SENSOR_073,2025-12-02 18:55:22,-7.73,84.78,984.87,Outdoor,26.5,-74
SENSOR_099,2025-12-02 18:55:17,21.47,66.36,981.82,Outdoor,29.0,-62
SENSOR_062,2025-12-02 18:55:12,3.47,80.55,1004.37,Factory_Floor,7.3,-93
SENSOR_021,2025-12-02 18:55:07,14.18,56.32,992.24,Outdoor,14.4,-60
SENSOR_094,2025-12-02 18:55:02,44.34,45.9,1003.92,Warehouse_1,51.5,-87
SENSOR_041,2025-12-02 18:54:57,3.3,29.19,1006.98,Building_B,9.7,-63
SENSOR_050,2025-12-02 18:54:52,37.53,51.36,1037.76,Building_B,81.3,-60
SENSOR_025,2025-12-02 18:54:47,31.97,57.37,1010.88,Factory_Floor,87.9,-37
SENSOR_003,2025-12-02 18:54:42,-5.05,49.49,1007.43,Building_B,21.5,-55
SENSOR_007,2025-12-02 18:54:37,-7.22,57.12,1032.94,Factory_Floor,28.6,-99
SENSOR_014,2025-12-02 18:54:32,13.7,86.18,1023.65,Factory_Floor,36.6,-49
SENSOR_007,2025-12-02 18:54:27,21.37,34.6,1013.19,Building_A,38.6,-43
SENSOR_098,2025-12-02 18:54:22,20.24,81.9,1017.39,Outdoor,11.9,-88
SENSOR_051,2025-12-02 18:54:17,10.53,94.01,1013.47,Warehouse_1,75.5,-75
SENSOR_078,2025-12-02 18:54:12,18.0,57.51,982.72,Building_B,71.4,-40
SENSOR_067,2025-12-02 18:54:07,15.13,65.47,1010.93,Warehouse_1,93.1,-60
SENSOR_021,2025-12-02 18:54:02,11.61,66.24,1030.56,Outdoor,33.6,-35
SENSOR_069,2025-12-02 18:53:57,16.94,62.22,1008.49,Building_A,36.8,-86
SENSOR_054,2025-12-02 18:53:52,22.1,79.76,1023.52,Building_A,59.7,-67
SENSOR_084,2025-12-02 18:53:47,33.06,78.21,1014.66,Building_A,58.4,-79
SENSOR_068,2025-12-02 18:53:42,24.6,66.48,1030.47,Building_B,82.2,-69
SENSOR_005,2025-12-02 18:53:37,21.49,72.54,991.45,Factory_Floor,31.4,-81
SENSOR_053,2025-12-02 18:53:32,27.98,50.78,1026.5,Factory_Floor,87.3,-93
SENSOR_091,2025-12-02 18:53:27,-2.41,35.55,999.5,Factory_Floor,52.5,-60
SENSOR_023,2025-12-02 18:53:22,15.28,59.98,1012.78,Warehouse_1,61.0,-76
SENSOR_032,2025-12-02 18:53:17,5.35,42.39,1036.49,Warehouse_1,77.1,-74
SENSOR_089,2025-12-02 18:53:12,28.77,43.78,1000.93,Warehouse_1,28.8,-31
SENSOR_049,2025-12-02 18:53:07,39.27,49.59,1000.71,Building_B,29.0,-64
SENSOR_092,2025-12-02 18:53:02,-5.65,89.3,1019.36,Factory_Floor,21.4,-32
SENSOR_035,2025-12-02 18:52:57,41.32,72.21,988.24,Outdoor,74.1,-70
SENSOR_032,2025-12-02 18:52:52,-7.21,87.89,993.54,Building_B,5.2,-48
SENSOR_043,2025-12-02 18:52:47,29.45,27.54,1026.25,Building_A,96.5,-80
SENSOR_053,2025-12-02 18:52:42,25.91,86.05,1008.54,Building_B,75.6,-64
SENSOR_042,2025-12-02 18:52:37,5.7,24.44,1026.12,Outdoor,23.2,-96
SENSOR_023,2025-12-02 18:52:32,12.98,82.82,1036.04,Building_A,99.7,-50
SENSOR_064,2025-12-02 18:52:27,0.25,76.18,1032.34,Warehouse_1,87.7,-99
SENSOR_039,2025-12-02 18:52:22,21.24,28.05,1038.98,Warehouse_1,45.4,-31
SENSOR_068,2025-12-02 18:52:17,17.17,90.39,1031.06,Factory_Floor,27.3,-86
SENSOR_043,2025-12-02 18:52:12,-1.06,54.42,995.44,Building_B,1.4,-57
SENSOR_038,2025-12-02 18:52:07,21.23,76.8,990.53,Factory_Floor,82.7,-35
SENSOR_042,2025-12-02 18:52:02,-5.23,70.19,991.09,Building_B,47.7,-69
SENSOR_001,2025-12-02 18:51:57,4.34,37.66,1025.23,Warehouse_1,30.2,-99
SENSOR_034,2025-12-02 18:51:52,25.95,71.96,983.73,Building_A,46.5,-80
SENSOR_052,2025-12-02 18:51:47,27.73,89.23,1033.27,Warehouse_1,69.0,-63
